path,filename,L,D,Dd,x0,xd0,f0,fd0,finf,fdinf,xaxis_start,xaxis_end,yaxis_start,yaxis_end,start_fit_buildup,end_fit_buildup,start_fit_decay,end_fit_decay
../20240229/,20240229_01.ASC,0.0004,1E-11,1E-11,2000,9000,0.005,0.05,0.23,0.23,200,30000,0,0.25,4000,10000,12000,20000
../20240229/,20240229_01.ASC,0.0004,1e-12,1e-12,35000,38000,0.02,0.05,0.245,0.245,31000,80000,0,0.30,35000,42000,58000,70000
../data/,20240412_A_01.ASC,0.0004,6e-12,8e-12,21000,46000,0.0005,0.05,0.5,0.42,15000,62000,0,0.8,22000,27000,46800,62000
../data/,20240412_A_01.ASC,0.0004,2e-11,7e-12,62800,63000,0.04,0.06,0.55,0.548,60000,80000,0,0.8,63500,65200,67000,79000
../data/,20240412_A_01.ASC,0.0004,4e-11,5e-12,80000,88000,0.047,0.047,0.477,0.477,75000,100000,0,0.5,81500,83500,88200,100000
../data/,20240412_A_01.ASC,0.0004,1e-11,7e-12,100000,118500,0.049,0.049,0.375,0.375,93000,133000,0,0.4,101000,105300,119000,132000











